	エピック	タスク	JIRA	担当	標準工数	実績工数	ステータス	開始予定	開始実績	終了予定	終了実績	備考																																																												
	モバイルアプリ仕様見える化						完了																																																																	
		サンプル作成		NTQ			完了																																																																	
		サンプル作成FB		NTQ			完了	3/5	3/5	3/18	3/18																																																													
		学生_仕様書作成：サイイン		NTQ			完了	3/14	3/14	3/16	3/16	https://docs.google.com/spreadsheets/d/1fYmR37e0ioaBkcK4KNjQTI9EvjpAsCDzVPywCm3E8J8/edit?usp=sharing																																																												
		学生_仕様書作成：検討中入り		NTQ			完了	3/15	3/15	3/17	3/17	https://docs.google.com/spreadsheets/d/18_D4_jOGDb4JBTCimNL4ONqb-R4rVh1Z4bYki7iHwnQ/edit?usp=sharing																																																												
		学生_仕様書作成：マッチング		NTQ			完了	3/16	3/16	3/18	3/18	https://docs.google.com/spreadsheets/d/1fESydT-9jsXSVhgf7gmCxHBPZ18CKj99VeRdLJxq3FU/edit?usp=sharing																																																												
		学生_仕様書作成：オファーリスト		NTQ			完了	3/17	3/17	3/21	3/21	https://docs.google.com/spreadsheets/d/1l3BpKpNb6TYLfEzznAIOTz016N5IBdI7h5cPl7xyrds/edit?usp=sharing																																																												
		学生_仕様書作成：通知受取		NTQ			完了	3/18	3/18	3/18	3/18	https://docs.google.com/spreadsheets/d/1JzH4Ej1qPkEzO0z2SMxBTcBiZ8s_IXpmrPGobbNJNws/edit?usp=sharing																																																												
		企業_仕様書作成：ログイン		NTQ			完了	3/21	3/21	3/23	3/23	https://docs.google.com/spreadsheets/d/1xPth_G5IdrhdkLVXrVdHbRk3M-6aE8bp89fEFdh2Gog/edit?usp=sharing																																																												
		企業_仕様書作成：学生一覧		NTQ			完了	3/24	3/24	3/25	3/25	https://docs.google.com/spreadsheets/d/1x3xFkByLsEeaEhJ4QPGWNUvycZYoSBMGMRlOYv_WHPM/edit?usp=sharing																																																												
		企業_仕様書作成：学生とチャット		NTQ			完了	3/25	3/25	3/28	3/28	https://docs.google.com/spreadsheets/d/1_AlgJ9ZBNV2TUrFyygi8Pu1pkUn8K5grtMMJ3nofcqc/edit?usp=sharing																																																												
		企業_仕様書作成：サポート		NTQ			完了	3/29	3/29	3/31	3/31	https://docs.google.com/spreadsheets/d/13j3qUch4RMiduCw4G5z_dSzdGeqQuIMgfRQzVo1AVDo/edit?usp=sharing																																																												
		学生_仕様書作成：サイイン		更谷			完了	5/20	5/20	5/20	5/20																																																													
		学生_仕様書作成：検討中入り		更谷			完了	5/20	5/20	5/20	5/20																																																													
		学生_仕様書作成：マッチング		更谷			完了	5/20	5/20	5/20	5/20																																																													
		学生_仕様書作成：オファーリスト		更谷			完了	5/20	5/20	5/20	5/20																																																													
		学生_仕様書作成：通知受取		更谷			完了	5/20	5/20	5/20	5/20																																																													
