	エピック	タスク	JIRA	担当	標準工数	実績工数	状態	開始予定	開始実績	終了予定	終了実績	備考			
	3群リリースまでに必要なタスク群		ENG1ST-1992	i-plug			完了					3/4 リリース関連EPICをマージ(EPIC一つ減った）			
		リリースするまでに共通機能の完成		島	40h	40h	完了	02/07	02/07	02/18	02/18				
		コードレビュー		三田	1.0h	1.0h	完了	02/18	02/18	02/22	02/21				
		FB対応方針決め調査		島	7.0h	6.0h	完了	02/23	02/23	02/23	02/23	FB対応といくらか並行作業			
		FB対応		島	12.0h	5.0h	完了	02/24	02/24	02/25	02/25				
		リリース対象第1段確定		中矢	2.0h	2.0h	完了	02/25	02/22	02/25	02/25				
		IP制御以外のv1の共通系処理を洗い出して、整理して見える化する（+ v2への反映、実装まで）	ENG1ST-1993	島	4.0h	4.0h	完了	02/16	02/16	02/17	02/17				
		IP制御の実装	ENG1ST-1994	島	4.0h	4.0h	完了	02/16	02/16	02/17	02/17				
		コンフリクトの解消		島	1.0h	2.0h	完了	02/17	02/17	02/17	02/17				
		リプレースブランチを取り込んで動作確認		島	4.0h	4.0h	完了	02/18	02/18	02/18	02/18				
		コードレビュー		三田	2.0h	2.0h	完了	02/21	02/21	02/21	02/21				
		コードレビューFB対応		島	3.0h	3.0h	完了	03/01	03/01	03/01	03/01				
		コードレビュー		三田	1.0h	1.0h	完了	03/01	03/01	03/01	03/01				
		コードレビューFB対応		島	5.0h	5.0h	完了	03/01	03/01	03/02	03/02	https://iplug.slack.com/archives/C01RZPZQJPM/p1646194924628449?thread_ts=1645179440.274529&cid=C01RZPZQJPM			
		コードレビュー		三田	1.0h	1.0h	完了	03/02	03/02	03/03	03/03				
		コードレビューFB対応		島	2.0h	2.0h	完了	03/02	03/02	03/03	03/03				
		共通系機能テスト仕様書作成	ENG1ST-1995	2022/03/03	10.0h	10.0h	完了	02/21	02/21	03/01	03/01				
		共通系機能テスト仕様書レビュー（島）		島	12.0h	12.0h	完了	03/02	03/02	03/04	03/04	3+6+3			
		共通系機能テスト仕様書レビュー（三田）		三田	4.0h	4.0h	完了	03/02	03/03	03/04	03/04				
